year,month,value
1990,1,192467
1990,2,186382
1990,3,237372
1990,4,321964
1990,5,492812
1990,6,661710
1990,7,896141
1990,8,871294
1990,9,627667
1990,10,380055
1990,11,224102
1990,12,289243
1991,1,187387
1991,2,190438
1991,3,255354
1991,4,297478
1991,5,496788
1991,6,644286
1991,7,898581
1991,8,894972
1991,9,631810
1991,10,364637
1991,11,214224
1991,12,291068
1992,1,187989
1992,2,200786
1992,3,226766
1992,4,304253
1992,5,495759
1992,6,636820
1992,7,937723
1992,8,901951
1992,9,669116
1992,10,388363
1992,11,226670
1992,12,301263
1993,1,201205
1993,2,193235
1993,3,236321
1993,4,308849
1993,5,533748
1993,6,678318
1993,7,1013545
1993,8,968360
1993,9,716995
1993,10,435736
1993,11,221994
1993,12,313108
1994,1,198692
1994,2,213877
1994,3,260709
1994,4,315412
1994,5,553167
1994,6,770476
1994,7,1092222
1994,8,990110
1994,9,809920
1994,10,452584
1994,11,244773
1994,12,339031
1995,1,221850
1995,2,246934
1995,3,295398
1995,4,372647
1995,5,608130
1995,6,851285
1995,7,1189835
1995,8,1134411
1995,9,905882
1995,10,542624
1995,11,262617
1995,12,354543
1996,1,222101
1996,2,270530
1996,3,345457
1996,4,403579
1996,5,710532
1996,6,984804
1996,7,1275712
1996,8,1226067
1996,9,969104
1996,10,570557
1996,11,295119
1996,12,391062
1997,1,266117
1997,2,313897
1997,3,384870
1997,4,394327
1997,5,665698
1997,6,905756
1997,7,1184978
1997,8,1180729
1997,9,935990
1997,10,541086
1997,11,266506
1997,12,379965
1998,1,252828
1998,2,281674
1998,3,315080
1998,4,397435
1998,5,641073
1998,6,869415
1998,7,1137755
1998,8,1074438
1998,9,843275
1998,10,529984
1998,11,266692
1998,12,390535
1999,1,261799
1999,2,304700
1999,3,360827
1999,4,376662
1999,5,655390
1999,6,871100
1999,7,1166924
1999,8,1087993
1999,9,952368
1999,10,577728
1999,11,321248
1999,12,402129
2000,1,299952
2000,2,341942
2000,3,366747
2000,4,503638
2000,5,670585
2000,6,932633
2000,7,1194505
2000,8,1041572
2000,9,964341
2000,10,581048
2000,11,325581
2000,12,450164
2001,1,309483
2001,2,333720
2001,3,383440
2001,4,471889
2001,5,644751
2001,6,894189
2001,7,1149680
2001,8,1040241
2001,9,757236
2001,10,440386
2001,11,252325
2001,12,395441
2002,1,266003
2002,2,309902
2002,3,371031
2002,4,365499
2002,5,552118
2002,6,741344
2002,7,1089322
2002,8,915395
2002,9,758217
2002,10,487174
2002,11,292148
2002,12,425242
2003,1,296860
2003,2,317509
2003,3,319829
2003,4,343954
2003,5,414394
2003,6,618732
2003,7,833617
2003,8,784952
2003,9,654564
2003,10,432030
2003,11,258519
2003,12,392960
2004,1,271115
2004,2,311923
2004,3,326370
2004,4,396757
2004,5,613308
2004,6,799087
2004,7,1088543
2004,8,978787
2004,9,843769
2004,10,592287
2004,11,278514
2004,12,430221
2005,1,303383
2005,2,344241
2005,3,402174
2005,4,404569
2005,5,643138
2005,6,884140
2005,7,1173414
2005,8,1020169
2005,9,904732
2005,10,553407
2005,11,313101
2005,12,478922
2006,1,327388
2006,2,338372
2006,3,381194
2006,4,456267
2006,5,669987
2006,6,866688
2006,7,1126038
2006,8,1031629
2006,9,890880
2006,10,546554
2006,11,312922
2006,12,498663
2007,1,335715
2007,2,364857
2007,3,422069
2007,4,451068
2007,5,681082
2007,6,929216
2007,7,1176137
2007,8,1059805
2007,9,915936
2007,10,562508
2007,11,339584
2007,12,522921
2008,1,354317
2008,2,380941
2008,3,431982
2008,4,459810
2008,5,746972
2008,6,953577
2008,7,1214053
2008,8,1113036
2008,9,928356
2008,10,556601
2008,11,316701
2008,12,493383
2009,1,347613
2009,2,347591
2009,3,351339
2009,4,470342
2009,5,615087
2009,6,813059
2009,7,1053454
2009,8,953997
2009,9,785567
2009,10,517576
2009,11,282275
2009,12,446533
2010,1,326522
2010,2,369694
2010,3,392573
2010,4,441238
2010,5,650733
2010,6,875847
2010,7,1116893
2010,8,1049098
2010,9,849855
2010,10,542835
2010,11,293869
2010,12,460403
2011,1,334281
2011,2,320132
2011,3,348695
2011,4,479381
2011,5,661577
2011,6,888571
2011,7,1137858
2011,8,1040488
2011,9,878789
2011,10,543956
2011,11,306923
2011,12,491707
2012,1,346121
2012,2,353778
2012,3,406279
2012,4,475317
2012,5,653490
2012,6,894302
2012,7,1121403
2012,8,1027247
2012,9,850938
2012,10,543784
2012,11,322797
2012,12,501759
2013,1,338612
2013,2,350026
2013,3,425120
2013,4,452945
2013,5,677573
2013,6,900897
2013,7,1120950
2013,8,1103282
2013,9,868602
2013,10,549025
2013,11,333494
2013,12,521041
2014,1,366299
2014,2,355406
2014,3,387630
2014,4,528697
2014,5,733619
2014,6,983528
2014,7,1243189
2014,8,1248549
2014,9,957119
2014,10,616850
2014,11,358110
2014,12,551525
2015,1,379169
2015,2,393776
2015,3,421231
2015,4,513207
2015,5,796089
2015,6,1037449
2015,7,1350098
2015,8,1262324
2015,9,1034200
2015,10,644263
2015,11,369538
2015,12,573112
2016,1,413229
2016,2,426034
2016,3,480009
2016,4,542459
2016,5,828414
2016,6,1142219
2016,7,1570513
2016,8,1470957
2016,9,1165731
2016,10,772698
2016,11,426248
2016,12,694428
2017,1,476926
2017,2,473571
2017,3,519921
2017,4,711464
2017,5,887269
2017,6,1246632
2017,7,1639762
2017,8,1538322
2017,9,1240043
2017,10,826122
2017,11,488528
2017,12,731591
2018,1,493436
2018,2,529729
2018,3,590448
2018,4,599423
2018,5,924933
2018,6,1267960
2018,7,1610278
2018,8,1556192
2018,9,1248492
2018,10,847870
2018,11,495189
2018,12,753684
2019,1,536119
2019,2,530050
2019,3,550479
2019,4,779173
2019,5,1055536
2019,6,1408587
2019,7,1790258
2019,8,1731188
2019,9,1366281
2019,10,928255
2019,11,515560
