episode,character,line
S01E01,JERRY,"Do you know what this is all about? Do you know, why were here? To be out, this is out...and out is one of the single most enjoyable experiences of life. People...did you ever hear people talking about We should go out? This is what theyre talking about...this whole thing, were all out now, no one is home. Not one person here is home, were all out! There are people tryin to find us, they dont know where we are. (on an imaginary phone) Did you ring?, I cant find him. Where did he go? He didnt tell me where he was going. He must have gone out. You wanna go out you get ready, you pick out the clothes, right? You take the shower, you get all ready, get the cash, get your friends, the car, the spot, the reservation...Then youre standing around, whatta you do? You go We gotta be getting back. Once youre out, you wanna get back! You wanna go to sleep, you wanna get up, you wanna go out again tomorrow, right? Where ever you are in life, its my feeling, youve gotta go."
S01E01,JERRY,"(pointing at Georges shirt) See, to me, that button is in the worst possible spot. The second button literally makes or breaks the shirt, look at it. Its too high! Its in no-mans-land. You look like you live with your mother."
S01E01,GEORGE,Are you through?
S01E01,JERRY,"You do of course try on, when you buy?"
S01E01,GEORGE,"Yes, it was purple, I liked it, I dont actually recall considering the buttons."
S01E01,JERRY,"Oh, you dont recall?"
S01E01,GEORGE,"(on an imaginary microphone) Uh, no, not at this time."
S01E01,JERRY,"Well, senator, Id just like to know, what you knew and when you knew it."
S01E01,CLAIRE,Mr. Seinfeld. Mr. Costanza.
S01E01,GEORGE,"Are, are you sure this is decaf? Wheres the orange indicator?"
S01E01,CLAIRE,"Its missing, I have to do it in my head decaf left, regular right, decaf left, regular right...its very challenging work."
S01E01,JERRY,"Can you relax, its a cup of coffee. Claire is a professional waitress."
S01E01,CLAIRE,Trust me George. No one has any interest in seeing you on caffeine.
S01E01,GEORGE,How come youre not doin the second show tomorrow?
S01E01,JERRY,"Well, theres this uh, woman might be comin in."
S01E01,GEORGE,"Wait a second, wait a second, what coming in, what woman is coming in?"
S01E01,JERRY,"I told you about Laura, the girl I met in Michigan?"
S01E01,GEORGE,"No, you didnt!"
S01E01,JERRY,"I thought I told you about it, yes, she teaches political science? I met her the night I did the show in Lansing..."
S01E01,GEORGE,Ha.
S01E01,JERRY,"(looks in the creamer) Theres no milk in here, what..."
S01E01,GEORGE,"Wait wait wait, what is she... (takes the milk can from Jerry and puts it on the table) What is she like?"
S01E01,JERRY,"Oh, shes really great. I mean, shes got like a real warmth about her and shes really bright and really pretty and uh... the conversation though, I mean, it was... talking with her is like talking with you, but, you know, obviously much better."
S01E01,GEORGE,"(smiling) So, you know, what, what happened?"
S01E01,JERRY,"Oh, nothing happened, you know, but is was great."
S01E01,GEORGE,"Oh, nothing happened, but it was..."
S01E01,JERRY,Yeah.
S01E01,GEORGE,This is great!
S01E01,JERRY,Yeah.
S01E01,GEORGE,"So, you know, she calls and says she wants to go out with you tomorrow night? God bless! Devil you!"
S01E01,JERRY,"Yeah, well...not exactly. I mean, she said, you know, she called this morning and said she had to come in for a seminar and maybe well get together."
S01E01,GEORGE,"(whistles disapprovingly) Ho ho ho, Had to? Had to come in?"
S01E01,JERRY,"Yeah, but..."
S01E01,GEORGE,Had to come in and maybe well get together? Had to and maybe?
S01E01,JERRY,Yeah!
S01E01,GEORGE,"No...no...no, I hate to tell you this. Youre not gonna see this woman."
S01E01,JERRY,"What, are you serious...why, why did she call?"
S01E01,GEORGE,"How do I know, maybe, you know, maybe she wanted to be polite."
S01E01,JERRY,To be polite? You are insane!
S01E01,GEORGE,"All right, all right, I didnt want to tell you this. You wanna know why she called you?"
S01E01,JERRY,Yes!
S01E01,GEORGE,"Youre a back-up, youre a second-line, a just-in-case, a B-plan, a contingency!"
S01E01,JERRY,"Oh, I get it, this is about the button."
S01E01,GEORGE,"Claire, Claire, youre a woman, right?"
S01E01,CLAIRE,"What gave it away, George?"
S01E01,GEORGE,"Uhm...Id like to ask you...ask you to analyze a hypothetical phone call, you know, from a female point of view."
S01E01,GEORGE,"(to Claire) Now, a woman calls me, all right?"
S01E01,CLAIE,Uh huh.
S01E01,GEORGE,She says she has to come to New York on business...
S01E01,JERRY,Oh you are beautiful!
S01E01,GEORGE,"...and, and maybe shell see me when she gets there, does this woman intend to spend time with me?"
S01E01,CLAIRE,"Id have to say, uuhh, no."
S01E01,(George shows his note-block to Jerry; it says very largely,NO.)
S01E01,CLAIRE,To be polite.
S01E01,GEORGE,To be polite. I rest my case.
S01E01,JERRY,"Good. Did you have fun? You have no idea, what youre talking about, now, come on, come with me. (stands up) I gotta go get my stuff out of the dryer anyway."
S01E01,GEORGE,Im not gonna watch you do laundry.
S01E01,JERRY,"Oh, come on, be a come-with guy."
S01E01,GEORGE,"Come on, Im tired."
S01E01,CLAIRE,"(to Jerry) Dont worry, I gave him a little caffeine. Hell perk up."
S01E01,GEORGE,"(panicking) Right, I knew I felt something!"
S01E01,GEORGE,Jerry? I have to tell you something. This is the dullest moment Ive ever experienced.
S01E01,JERRY,"Well, look at this guy. Look, hes got everything, hes got detergents, sprays, fabric softeners.  This is not his first load."
S01E01,GEORGE,"I need a break, Jerry, you know. I gotta get out of the city. I feel so cramped..."
S01E01,JERRY,And you didnt even hear how she sounded.
S01E01,GEORGE,What?!
S01E01,JERRY,Laura.
S01E01,GEORGE,I cant believe- (falls on his knees) WE ALREADY DISCUSSED THIS!
S01E01,JERRY,"Yeah, but how could you be so sure?"
S01E01,GEORGE,"Cause its signals, Jerry, its signals! (snapping his fingers) Dont you- all right. Did she even ask you, what you were doin tomorrow night, if you were busy?"
S01E01,JERRY,No.
S01E01,GEORGE,She calls you today and she doesnt make a plan for tomorrow? What is that? Its Saturday night!
S01E01,JERRY,Yeah.
S01E01,GEORGE,"What is that? Its ridiculous! You dont even know what hotel shes staying at, you cant call her. Thats a signal, Jerry, thats a signal! (snaps his fingers) Signal!"
S01E01,JERRY,Maybe youre right.
S01E01,GEORGE,Maybe Im right? Of course Im right.
S01E01,JERRY,"This is insane. You know, I dont even know where shes staying! She, shes not gonna call me, this is unbelievable."
S01E01,GEORGE,"I know, I know. Listen, your stuff has to be done by now, why dont you just see if its dry?"
S01E01,JERRY,"No no no, dont interrupt the cycle. The machine is working, it, it knows what its doing. Just let it finish."
S01E01,GEORGE,Youre gonna overdry it.
S01E01,JERRY,"You, you cant overdry."
S01E01,GEORGE,Why not?
S01E01,JERRY,"Same as you cant overwet. You see, once something is wet, its wet. Same thing with death. Like once you die youre dead, right? Lets say you drop dead and I shoot you. Youre not gonna die again, youre already dead. You cant overdie, you cant overdry."
S01E01,GEORGE,(to the other laundry patrons) Any questions?
S01E01,JERRY,How could she not tell me where she was staying?
S01E01,GEORGE,Look at that. Theyre done!
S01E01,JERRY,"Laundry day is the only exciting day in the life of clothes. It is...yknow, think about it. The washing machine is the nightclub of clothes. You know, its dark, theres bubbles happening, theyre all kinda dancing around in there- shirt grabs the underwear, Cmon babe, lets go. You come by, you open up the lid and theyll- (stiffens up, as the clothes) Socks are the most amazing article of clothing. They hate their lives, theyre in the shoes with stinky feet, the boring drawers. The dryer is their only chance to escape and they all know it. They knew a escape from the dryer. They plan it in the hamper the night before, Tomorrow, the dryer, Im goin. You wait here! The dryer door swings open and the sock is waiting up against the side wall. He hopes you dont see him and then he goes down the road. They get buttons sewn on their faces, join a puppet show. So theyre showing me on television the detergent for getting out bloodstains. Is this a violent image to anybody? Bloodstains? I mean, come on, you got a T-shirt with bloodstains all over it, maybe laundry isnt your biggest problem right now. You gotta get the harpoon out your chest first."
S01E01,JERRY,"(answering, quickly) If you know what happened in the Met game, dont say anything, I taped it, hello. Yeah, no, Im sorry, you have the wrong number. Yeah, no"
